Title,Price,Currency,Location,URL
"Lenovo 300e 2nd Gen 11.6"" Touchscreen Windows 11 Laptop 4GB, 64GB",135.00,GBP,GB,https://www.ebay.co.uk/itm/326366713514?_skw=laptop&hash=item4bfcf8d6aa:g:pkwAAOSwECpnTw8W
"CHEAP Fujitsu Lifebook 15.6"" Laptop - QUAD CORE i7 8Gb RAM 128Gb SSD HDMI Win10",99.99,GBP,GB,https://www.ebay.co.uk/itm/285950727101?_skw=laptop&hash=item4293fdd3bd:g:VDIAAOSwXl5mjQCi
"Lenovo 300e 2nd Gen (81MB) 11.6"" Chromebook Laptop - 4GB RAM 32 GB eMMC",89.00,GBP,GB,https://www.ebay.co.uk/itm/395833010004?_skw=laptop&hash=item5c297c6754:g:vt4AAOSw1wtnHTsg&amdata=enc%3AAQAJAAAA4H%2FqIbIc6o8B4%2BvpFzQyE8XvL9irfFjVydZpZ%2BFzaoaxaFU5BBo2a%2FiEWA6Lc%2F%2BZ8cHA89TzOe4YOq8NAQ2DlLsF22PoEJ2MVRWOh2JhXW5829pTGYtLURqL2e%2FgMHIDpl1qr9bQ4lPRuWMFCnU5fiJT2%2BFcOKkbv41mHqpOryZ8m0K3qH1IoJmK8GQvFiuhtg0Dv52lMnEbwFJUngt8LEek0lGaCPcNukFWmcKnBCH8ocaUCkecB9kavq0Nm2RyiDA%2BFvEZZv1hYnihAnD84ZB4QuGIf%2Febw7KhUXo6y%2Bge
FAST CHEAP WINDOWS 11 LAPTOP INTEL CORE i5 32 RAM 1TB SSD WARRANTY,139.99,GBP,GB,https://www.ebay.co.uk/itm/204794743057?_skw=laptop&hash=item2faeb7c911:g:v~kAAOSweHFmRd0P&amdata=enc%3AAQAJAAAA4H%2FqIbIc6o8B4%2BvpFzQyE8WHTFmg6W3fQpNAv1Ja36IdRVLbvLLgGNl1apT2IMA4b3Lo29cy6YDlJ9slQihykJVdvwrD%2FCO4FZ2Ptfz%2BtqR0wzIcxpbwszkbDtuJ4JCmgXbTjlaozYi0fOsVrff4m4gSrtiz2N7e7HTgkau%2Fkpp8QGOSZshtkYvDweGlCtDQ2KbADqRtCI0UGWRIIqOp4MWHO0iLimJSWzsx40nDH9aYxVeTk1hiOeAdRU3epbJtsFUVzmjZdtQZRZjY%2FwCq7pi0rUCzfsFZQMnb%2F5TpgexU
Dell Latitude 7290 Ultrabook Laptop 8th Gen i5 8GB RAM 256GB SSD Win 11 Pro,99.99,GBP,GB,https://www.ebay.co.uk/itm/167090441199?_skw=laptop&hash=item26e75dcbef:g:RFkAAOSwZ6lnNhKl
Lenovo ThinkPad X390 FHD Core i5-8365U 16GB Ram 256GB SSD Windows 11 Laptop,199.99,GBP,GB,https://www.ebay.co.uk/itm/326235191143?_skw=laptop&hash=item4bf521f767:g:yl0AAOSw-31nRdEH
HP EliteBook 840 G5 i7-8650U up to 64GB Ram up to 2TB SSD FHD Windows 11 Laptop,239.99,GBP,GB,https://www.ebay.co.uk/itm/235586904482?_skw=laptop&hash=item36da12e1a2:g:n6YAAOSw2vdmesGU
"Dell Chromebook 3100 11.6"" Celeron N4020 4GB 16GB USB-C Port 2021 (Ref:C0003)",45.00,GBP,GB,https://www.ebay.co.uk/itm/356256452126?_skw=laptop&hash=item52f28a0e1e:g:kboAAOSwcVRlzL60
Lenovo IdeaPad Flex 15ITL05,109.00,GBP,GB,https://www.ebay.co.uk/itm/196884983761?_skw=laptop&hash=item2dd7426fd1:g:s8cAAOSwRWBnV1lk
Dell Latitude 5410 i7-10610U up to 64GB Ram up to 2TB SSD FHD Windows 11 Laptop,249.99,GBP,GB,https://www.ebay.co.uk/itm/326275819124?_skw=laptop&hash=item4bf78de674:g:Dc4AAOSw6WFm7CAD
